sequence	16S_rRNA_Count	metadata_NSTI
SV_1317_Pseudomonadales	3	0.266924
SV_1318_Rhodobacterales	2	0.066748
SV_1319_Rhodobacterales	2	0.171418
SV_131_Enterobacterales	5	0.088499
SV_1320_Pseudomonadales	3	0.501403
SV_1321_Enterobacterales	7	0.763482
SV_1322_Sphingomonadales	3	0.40174
SV_1323_Flavobacteriales	3	0.263327
SV_1324_Enterobacterales	4	0.498241
SV_1325_Caulobacterales	2	0.044157
SV_1326_Rhodobacterales	2	0.031438
SV_1327_Rhodobacterales	2	0.03276
SV_1328_Rhizobiales	3	0.481216
SV_1329_Caulobacterales	2	0.148104
SV_132_Caulobacterales	2	0.449921
SV_1330_NA	2	0.501614
SV_1331_Rhodobacterales	4	0.035947
SV_1332_NA	2	0.269305
SV_1333_Caulobacterales	2	0.058888
SV_1334_Sphingomonadales	1	0.046368
SV_1335_Caulobacterales	2	0.239697
SV_1336_Rhodobacterales	2	0.045115
SV_1337_Caulobacterales	2	0.166366
SV_1338_Sphingomonadales	2	0.526923
SV_1339_Caulobacterales	2	0.060742
SV_133_Enterobacterales	5	0.072497
SV_1340_Rhodobacterales	2	0.45945
SV_1341_Rhodobacterales	2	0.014544
SV_1342_Enterobacterales	5	0.1214
SV_1343_Sphingomonadales	4	0.026147
SV_1344_Enterobacterales	5	0.203124
SV_1345_Rhodobacterales	2	0.11486
SV_1346_Rhodobacterales	2	0.051602
SV_1347_Enterobacterales	5	0.022673
SV_1348_Rhizobiales	3	0.03156
SV_1349_NA	2	0.146975
SV_134_Enterobacterales	5	0.1214
SV_1350_Enterobacterales	8	0.280981
SV_1351_Flavobacteriales	3	0.505757
SV_1352_Rhodobacterales	2	0.1173
SV_1353_Enterobacterales	5	0.022744
SV_1354_Caulobacterales	3	0.417998
SV_1355_Enterobacterales	12	0.344782
SV_1356_Rhodobacterales	2	0.243798
SV_1357_Rhodobacterales	2	0.158264
SV_1358_Rhodobacterales	1	0.042854
SV_1359_Rhodobacterales	2	0.0419
SV_135_Enterobacterales	12	0.179991
SV_1360_Rhodobacterales	2	0.181137
SV_1361_Caulobacterales	1	0.097034
SV_1362_Rhodospirillales	3	0.080432
SV_1363_Sphingomonadales	1	0.033451
SV_1364_NA	2	0.067208
SV_1365_Rhodobacterales	2	0.2189
SV_1366_Flavobacteriales	3	0.263327
SV_1367_Caulobacterales	2	0.044246
